,taker_ratio,funding
2025-10-27,0.5005797722228884,
2025-10-28,0.5321909807675907,
2025-10-29,0.5099472277460495,
2025-10-30,0.5291278918935567,
2025-10-31,0.4694850398743499,
2025-11-01,0.5088228048426267,
2025-11-02,0.47948030902252714,
2025-11-03,0.4920280133418937,
2025-11-04,0.5082362957685546,
2025-11-05,0.5187936595251114,
2025-11-06,0.4903941824055063,
2025-11-07,0.49162172411439625,
2025-11-08,0.48847250047374474,
2025-11-09,0.5130601219672681,
2025-11-10,0.5016888663776577,
2025-11-11,0.5133865085850134,
2025-11-12,0.5150400432978012,
2025-11-13,0.5047657082342114,
2025-11-14,0.4975517532891721,
2025-11-15,0.5041732562443448,
2025-11-16,0.49184806482021326,
2025-11-17,0.5107969040541095,
2025-11-18,0.5072949413422922,
2025-11-19,0.4964587164769439,
2025-11-20,0.4806314119661823,
2025-11-21,0.5078506688213865,
2025-11-22,0.5150339547036024,
2025-11-23,0.512439829515024,
2025-11-24,0.5086546624546019,
2025-11-25,0.4794581672596841,
2025-11-26,0.4987863140400719,
2025-11-27,0.48790094107764637,
2025-11-28,0.5046662663311567,
2025-11-29,0.47386389405598595,
2025-11-30,0.503883008365382,
2025-12-01,0.5047918195880671,
2025-12-02,0.5550698958847267,
2025-12-03,0.5001810678184556,
2025-12-04,0.4867870251711863,
2025-12-05,0.49655996137412967,
2025-12-06,0.49631715119251996,
2025-12-07,0.500439692334474,
2025-12-08,0.5129954009207194,
2025-12-09,0.48061354024514436,
2025-12-10,0.485971322070932,
2025-12-11,0.5024204981974972,
2025-12-12,0.5023616647278952,
2025-12-13,0.49759704625782203,
2025-12-14,0.4797089425842192,
2025-12-15,0.4822600655832569,
2025-12-16,0.5096194189127601,
2025-12-17,0.5278822925976685,
2025-12-18,0.5089401887721776,
2025-12-19,0.5432697612530827,
2025-12-20,0.4826840534575432,
2025-12-21,0.5045086951807863,
2025-12-22,0.4897772213996048,
2025-12-23,0.4952103528578852,
2025-12-24,0.5007350222370145,
2025-12-25,0.4975416041583855,
2025-12-26,0.5200330838802124,
2025-12-27,0.52301826118243,
2025-12-28,0.4880255138071534,
2025-12-29,0.503481758484156,
2025-12-30,0.486956500015519,
2025-12-31,0.482255404589965,
2026-01-01,0.48357263506088394,
2026-01-02,0.4861738120520621,
2026-01-03,0.5401617623336982,
2026-01-04,0.4948209918670238,
2026-01-05,0.4990573466758991,
2026-01-06,0.48398366269996046,
2026-01-07,0.4928394255435947,
2026-01-08,0.4650240682350157,
2026-01-09,0.4961046967706569,
