,taker_ratio,funding
2025-10-27,0.48848731763645237,
2025-10-28,0.5037120847668857,
2025-10-29,0.5079531860159701,
2025-10-30,0.5020662774524308,
2025-10-31,0.5139206468086176,
2025-11-01,0.510948091297554,
2025-11-02,0.5423977662758214,
2025-11-03,0.4633686190006181,
2025-11-04,0.5174947979970056,
2025-11-05,0.4983255777178743,
2025-11-06,0.4543752228141013,
2025-11-07,0.5681094252101496,
2025-11-08,0.4684076717899778,
2025-11-09,0.4901712589355913,
2025-11-10,0.5315237620575475,
2025-11-11,0.46564857177984703,
2025-11-12,0.4645531528382723,
2025-11-13,0.49414401572971145,
2025-11-14,0.49708203572103077,
2025-11-15,0.5226896832489627,
2025-11-16,0.4859833633899404,
2025-11-17,0.5095591413565025,
2025-11-18,0.4983938933239221,
2025-11-19,0.5035296704552417,
2025-11-20,0.47531906109628674,
2025-11-21,0.4905156416000629,
2025-11-22,0.5278243112230409,
2025-11-23,0.4957444437149157,
2025-11-24,0.5032109356022663,
2025-11-25,0.497967298341334,
2025-11-26,0.5379820276774181,
2025-11-27,0.5172235293437994,
2025-11-28,0.5196923935118917,
2025-11-29,0.4866200698343914,
2025-11-30,0.4937605529257113,
2025-12-01,0.46135097430917105,
2025-12-02,0.543209561005532,
2025-12-03,0.48652941851962656,
2025-12-04,0.4983428314873972,
2025-12-05,0.4654948378759997,
2025-12-06,0.5100837155296011,
2025-12-07,0.4914547362931098,
2025-12-08,0.4457928575356509,
2025-12-09,0.5155170451227218,
2025-12-10,0.45207130787520744,
2025-12-11,0.5068027956765644,
2025-12-12,0.41154775071100175,
2025-12-13,0.4488833362590143,
2025-12-14,0.554528516782177,
2025-12-15,0.5088625626165698,
2025-12-16,0.5320543456778531,
2025-12-17,0.5010531308836067,
2025-12-18,0.5096870315203752,
2025-12-19,0.47948564025490137,
2025-12-20,0.5229023727334341,
2025-12-21,0.5388895996103102,
2025-12-22,0.4726502917455085,
2025-12-23,0.5240132369258874,
2025-12-24,0.41016425756239483,
2025-12-25,0.485079582048977,
2025-12-26,0.5261755571286516,
2025-12-27,0.5276740448413856,
2025-12-28,0.511222473381706,
2025-12-29,0.4995543569846785,
2025-12-30,0.5132234177793058,
2025-12-31,0.47702597461086693,
2026-01-01,0.5054710586498514,
2026-01-02,0.5160015738492321,
2026-01-03,0.5431363959026824,
2026-01-04,0.48829863720458533,
2026-01-05,0.48287867656823036,
2026-01-06,0.5095013107404814,
2026-01-07,0.5430621063493771,
2026-01-08,0.4562490066962398,
2026-01-09,0.5717682383684971,
2026-01-10,0.5140396450530829,
2026-01-11,0.4662774150338165,
2026-01-12,0.5026015383878266,
2026-01-13,0.5105313104399212,
2026-01-14,0.4608673481323018,
2026-01-15,0.5041318259663767,
2026-01-16,0.48222972078652954,
2026-01-17,0.5473701718451814,
2026-01-18,0.49119496703188315,
2026-01-19,0.4854974361707635,
2026-01-20,0.45820860376040135,
2026-01-21,0.548288757185695,
2026-01-22,0.5191177775510994,
2026-01-23,0.4820896425100375,
2026-01-24,0.496917003671815,
2026-01-25,0.48460065557081833,
2026-01-26,0.5468172013065926,
2026-01-27,0.48836455189561273,
2026-01-28,0.5206896447339963,
2026-01-29,0.49697457194417555,
2026-01-30,0.5034394135518638,
2026-01-31,0.5031812653514851,
2026-02-01,0.4723626534163609,
2026-02-02,0.5213050985185518,
2026-02-03,0.511088083127291,
2026-02-04,0.4900539262506152,
2026-02-05,0.49316930433299966,
2026-02-06,0.5278030413971764,
2026-02-07,0.5246756964577876,
2026-02-08,0.5066645986696157,
2026-02-09,0.5417363603889094,
2026-02-10,0.48787664077333426,
2026-02-11,0.5011542684005508,
2026-02-12,0.5235140158394204,
2026-02-13,0.5550820503116074,
2026-02-14,0.5339230476508964,
2026-02-15,0.47702971651209003,
2026-02-16,0.5234713216460105,
2026-02-17,0.4615043943770252,
2026-02-18,0.4597977469358627,
2026-02-19,0.5507168647614532,
2026-02-20,0.5332564545938296,
2026-02-21,0.5350585648859227,
2026-02-22,0.5469977170586741,
