,taker_ratio,funding
2025-10-27,0.4953971781298721,
2025-10-28,0.4716258489196155,
2025-10-29,0.4943663087007333,
2025-10-30,0.47739803500114225,
2025-10-31,0.4962724266740962,
2025-11-01,0.5148572025357077,
2025-11-02,0.4798658363481201,
2025-11-03,0.46728244846922706,
2025-11-04,0.4967975665440776,
2025-11-05,0.49807938224106924,
2025-11-06,0.5067948403374729,
2025-11-07,0.4940849736621366,
2025-11-08,0.4711757449768452,
2025-11-09,0.4841331562176606,
2025-11-10,0.4744856814741059,
2025-11-11,0.4636653750332895,
2025-11-12,0.45585902804474226,
2025-11-13,0.4824365592238324,
2025-11-14,0.47238622815957254,
2025-11-15,0.4918424133014843,
2025-11-16,0.46060842110371764,
2025-11-17,0.4797828033288543,
2025-11-18,0.5078118405870883,
2025-11-19,0.46423461709858754,
2025-11-20,0.47703893774870987,
2025-11-21,0.5003762343119867,
2025-11-22,0.4831287432531835,
2025-11-23,0.4706403323151779,
2025-11-24,0.5191403787692372,
2025-11-25,0.4819471103097414,
2025-11-26,0.4586556011999103,
2025-11-27,0.47111130822079755,
2025-11-28,0.4809146236360682,
2025-11-29,0.49467676077329237,
2025-11-30,0.4949262742625163,
2025-12-01,0.4465694384108085,
2025-12-02,0.5201464054774718,
2025-12-03,0.506239513792761,
2025-12-04,0.474074140455828,
2025-12-05,0.4644004481410646,
2025-12-06,0.4889843089248227,
2025-12-07,0.4619116073373119,
2025-12-08,0.5093296231120706,
2025-12-09,0.5035429467308608,
2025-12-10,0.4883354186304844,
2025-12-11,0.4495962153679565,
2025-12-12,0.4664202893633616,
2025-12-13,0.5131447395977755,
2025-12-14,0.4738871961575677,
2025-12-15,0.4649095546515036,
2025-12-16,0.5131256280858892,
2025-12-17,0.4845380124143061,
2025-12-18,0.46615021691662606,
2025-12-19,0.5133149721731748,
2025-12-20,0.4946200111434583,
2025-12-21,0.49388744187591077,
2025-12-22,0.49943331657953755,
2025-12-23,0.4736435015189073,
2025-12-24,0.44468899978492565,
2025-12-25,0.46119637864524654,
2025-12-26,0.4656781410955485,
2025-12-27,0.5078251765254018,
2025-12-28,0.48776787329104265,
2025-12-29,0.4805865479456073,
2025-12-30,0.4733978554478317,
2025-12-31,0.4475363409374799,
2026-01-01,0.5026613870972418,
2026-01-02,0.49767629202237773,
2026-01-03,0.5086129938869606,
2026-01-04,0.4737782770171272,
2026-01-05,0.4965450757785447,
2026-01-06,0.4958364947019744,
2026-01-07,0.4879575352198259,
2026-01-08,0.4680231030539247,
2026-01-09,0.4909834906308245,
2026-01-10,0.49786992686115056,
2026-01-11,0.4383402155660197,
2026-01-12,0.4821949690302851,
2026-01-13,0.4929855807010598,
2026-01-14,0.49215645906223987,
2026-01-15,0.4660843938504575,
2026-01-16,0.4945296860817787,
2026-01-17,0.470616804602951,
2026-01-18,0.4736127192308641,
2026-01-19,0.4706515704367282,
2026-01-20,0.4730747400562497,
2026-01-21,0.48880196512989255,
2026-01-22,0.508494024028833,
2026-01-23,0.4874941635458727,
2026-01-24,0.43495658490215566,
2026-01-25,0.4597312390213127,
2026-01-26,0.5194083712475384,
2026-01-27,0.5164090843747758,
2026-01-28,0.511497400931799,
2026-01-29,0.46139380705655475,
2026-01-30,0.47748341444485043,
2026-01-31,0.48343419842568747,
2026-02-01,0.48670696110286443,
2026-02-02,0.5140197713618049,
