date,open,high,low,close
2023-09-05 13:00:00,147.19,147.735,147.13,147.645
2023-09-05 17:00:00,147.645,147.80499,147.58501,147.715
2023-09-05 21:00:00,147.72,147.815,147.37,147.78
2023-09-06 01:00:00,147.77499,147.78,147.39,147.405
2023-09-06 05:00:00,147.39,147.5,147.029999,147.38499
2023-09-06 09:00:00,147.41,147.595,147.2,147.27499
2023-09-06 13:00:00,147.27499,147.705,147.13,147.595
2023-09-06 17:00:00,147.595,147.755,147.49001,147.655
2023-09-06 21:00:00,147.69501,147.88,147.57001,147.77499
2023-09-07 01:00:00,147.765,147.81,147.495,147.55499
2023-09-07 05:00:00,147.565,147.69,147.37,147.455
2023-09-07 09:00:00,147.47,147.62,147.22,147.285
2023-09-07 13:00:00,147.25999,147.44,147.044998,147.095001
2023-09-07 17:00:00,147.089996,147.3,147.089996,147.295
2023-09-07 21:00:00,147.295,147.38,146.59,146.92999
2023-09-08 01:00:00,146.94,147.34,146.91,147.23
2023-09-08 05:00:00,147.22,147.455,147.054993,147.41
2023-09-08 09:00:00,147.41,147.575,147.245,147.56
2023-09-08 13:00:00,147.55499,147.785,147.32001,147.755
2023-09-08 17:00:00,147.765,147.88,147.7,147.825
2023-09-10 21:00:00,147.0099945,147.28,146.67,146.955
2023-09-11 01:00:00,146.94501,147.095001,146.14,146.205
2023-09-11 05:00:00,146.19,146.5,145.91,146.34
2023-09-11 09:00:00,146.345,146.99001,146.27499,146.49001
2023-09-11 13:00:00,146.5,146.595,146.2,146.485
2023-09-11 17:00:00,146.48,146.61,146.44,146.595
2023-09-11 21:00:00,146.59,146.81,146.47,146.7
2023-09-12 01:00:00,146.69,146.75,146.44,146.735
2023-09-12 05:00:00,146.735,146.955,146.66,146.795
2023-09-12 09:00:00,146.78,147.16,146.75,147.155
2023-09-12 13:00:00,147.12,147.245,147.059998,147.175
2023-09-12 17:00:00,147.175,147.245,146.985,147.085007
2023-09-12 21:00:00,147.095001,147.315,147.014999,147.31
2023-09-13 01:00:00,147.31,147.44501,147.27,147.395
2023-09-13 05:00:00,147.395,147.425,147.21001,147.255
2023-09-13 09:00:00,147.255,147.74001,147.25,147.455
2023-09-13 13:00:00,147.45,147.61501,147.25,147.34
2023-09-13 17:00:00,147.345,147.575,147.17,147.47
2023-09-13 21:00:00,147.465,147.465,147.054993,147.085007
2023-09-14 01:00:00,147.059998,147.19501,147.024994,147.145
2023-09-14 05:00:00,147.13,147.375,147.070007,147.3
2023-09-14 09:00:00,147.295,147.565,147.215,147.425
2023-09-14 13:00:00,147.41,147.455,147.0099945,147.255
