,taker_ratio,funding
2025-10-27,0.4770227314829702,
2025-10-28,0.4697517335264925,
2025-10-29,0.4933613060075593,
2025-10-30,0.4728996166450146,
2025-10-31,0.4958815929966477,
2025-11-01,0.5075931499876598,
2025-11-02,0.49990512658959363,
2025-11-03,0.46867885093340045,
2025-11-04,0.48310406099958864,
2025-11-05,0.49414859463250993,
2025-11-06,0.4987450129372351,
2025-11-07,0.49628769797647293,
2025-11-08,0.4979093550762576,
2025-11-09,0.4909339477122861,
2025-11-10,0.4886091772154657,
2025-11-11,0.4618661834862918,
2025-11-12,0.49458155364661904,
2025-11-13,0.4869921679474059,
2025-11-14,0.4807852699353101,
2025-11-15,0.4813932591752504,
2025-11-16,0.4750796450766073,
2025-11-17,0.4913094374979378,
2025-11-18,0.4789904539020239,
2025-11-19,0.4806760406880832,
2025-11-20,0.49695424873500466,
2025-11-21,0.4835450371702913,
2025-11-22,0.4891059652514523,
2025-11-23,0.4955942278674034,
2025-11-24,0.48293777896521806,
2025-11-25,0.48684753209516224,
2025-11-26,0.4658652183586648,
2025-11-27,0.46374908946718474,
2025-11-28,0.48683627038555294,
2025-11-29,0.49239609894793007,
2025-11-30,0.4670001455379014,
2025-12-01,0.4860879106252192,
2025-12-02,0.48840307599656146,
2025-12-03,0.48764646995446104,
2025-12-04,0.475533664327837,
2025-12-05,0.4743843636218589,
2025-12-06,0.4670691684462879,
2025-12-07,0.4653669653774164,
2025-12-08,0.5019315225944128,
2025-12-09,0.5024181500204059,
2025-12-10,0.45344384368551643,
2025-12-11,0.4790327730855902,
2025-12-12,0.4642540148955934,
2025-12-13,0.4836930452142283,
2025-12-14,0.46782101298012846,
2025-12-15,0.4693803145961615,
2025-12-16,0.5124017316264057,
2025-12-17,0.4662113899975787,
2025-12-18,0.4706937675067785,
2025-12-19,0.521170200434108,
2025-12-20,0.5152522615459707,
2025-12-21,0.46516218929548026,
2025-12-22,0.4996341219261668,
2025-12-23,0.5074021255768998,
2025-12-24,0.48553515600502295,
