Date,ADA,ALGO,ATOM,AVAX,BCH,BNB,BTC,DOGE,DOT,ETC,ETH,FIL,HBAR,ICP,LINK,LTC,SOL,XLM,XMR,XRP
2019-01-06,0.049261000007390976,,,,166.8411865234375,6.395978927612305,4076.632568359375,0.002328000031411648,,5.503686904907227,157.74620056152344,3.3071610927581787,,,0.3970099985599518,39.29885482788086,,0.12038400024175644,54.8765869140625,0.36839500069618225
2019-01-13,0.040240999311208725,,,,126.34981536865234,5.568757057189941,3552.953125,0.0020940001122653484,,4.243372917175293,116.8978042602539,2.831963062286377,,,0.44426101446151733,30.332897186279297,,0.10360900312662125,43.11040115356445,0.31786298751831055
2019-01-20,0.043476998805999756,,,,123.88646697998047,6.493868827819824,3601.013671875,0.002119000069797039,,4.286460876464844,119.4748306274414,3.003264904022217,,,0.4901230037212372,31.176406860351562,,0.10470200330018997,44.11306381225586,0.32117700576782227
2019-01-27,0.04116800054907799,,,,122.90110778808594,7.088199138641357,3583.9658203125,0.00202700006775558,,4.253052234649658,113.40528869628906,2.912476062774658,,,0.4337489902973175,32.59283447265625,,0.09631600230932236,46.575416564941406,0.3094390034675598
2019-02-03,0.03802900016307831,,,,118.8281478881836,6.738164901733398,3464.013427734375,0.0019039999460801482,,3.919903039932251,107.49266815185547,2.86545991897583,,,0.39614200592041016,33.43925476074219,,0.08134700357913971,42.903839111328125,0.30235201120376587
2019-02-10,0.042830001562833786,,,,127.58672332763672,9.211540222167969,3690.188232421875,0.0019460000330582261,,4.1735429763793945,124.80648803710938,2.8662400245666504,,,0.4521859884262085,46.82740783691406,,0.0803930014371872,49.82767105102539,0.30990898609161377
2019-02-17,0.04145200178027153,,,,124.68604278564453,9.216046333312988,3673.836181640625,0.0019920000340789557,,4.176216125488281,133.598876953125,3.0301740169525146,,,0.4574989974498749,43.928367614746094,,0.0796080008149147,48.06875228881836,0.30336999893188477
2019-02-24,0.0424560010433197,,,,130.26763916015625,10.113093376159668,3810.427490234375,0.001973999897018075,,4.195046901702881,135.8526611328125,3.165247917175293,,,0.41064000129699707,44.678592681884766,,0.08423399925231934,49.010467529296875,0.3014430105686188
2019-03-03,0.04231199994683266,,,,131.55630493164062,11.53790283203125,3847.17578125,0.0019990000873804092,,4.284319877624512,132.24942016601562,2.9494950771331787,,,0.42416900396347046,48.38032150268555,,0.08723500370979309,50.10773849487305,0.3125540018081665
2019-03-10,0.04569799825549126,,,,132.8378143310547,14.494439125061035,3951.599853515625,0.0019990000873804092,,4.360703945159912,136.75868225097656,3.12927508354187,,,0.5017679929733276,57.18186569213867,,0.10003899782896042,50.948211669921875,0.3131070137023926
2019-03-17,0.050207000225782394,,4.7761640548706055,,156.07899475097656,15.76114559173584,4025.22900390625,0.0020810000132769346,,4.464364051818848,140.00054931640625,2.8860819339752197,,,0.4836849868297577,61.243778228759766,,0.10938499867916107,53.535606384277344,0.3176119923591614
2019-03-24,0.06170399859547615,,3.7652430534362793,,165.9362335205078,17.285356521606445,4022.168212890625,0.0020540000405162573,,4.835110187530518,136.98692321777344,3.376059055328369,,,0.45640501379966736,60.223876953125,,0.1060120016336441,53.74467849731445,0.3089919984340668
2019-03-31,0.0697460025548935,,3.62432599067688,,168.9375457763672,17.401670455932617,4105.404296875,0.0020800000056624413,,4.823973178863525,141.51409912109375,3.1982040405273438,,,0.5076130032539368,60.75539779663086,,0.1076510027050972,55.885337829589844,0.3092289865016937
2019-04-07,0.09048400074243546,,4.616361141204834,,319.5965270996094,19.110271453857422,5198.89697265625,0.0034179999493062496,,7.669719219207764,174.53164672851562,3.948312997817993,,,0.577118992805481,92.31237030029297,,0.13030299544334412,69.8070068359375,0.3598560094833374
2019-04-14,0.08464299887418747,,4.462687015533447,,288.64715576171875,19.492019653320312,5167.72216796875,0.002882000058889389,,6.441833019256592,167.83851623535156,4.671632766723633,,,0.5287399888038635,82.9375228881836,,0.11666300147771835,66.58150482177734,0.32880899310112
2019-04-21,0.07410600036382675,,5.215818881988525,,290.4802551269531,24.193828582763672,5314.53125,0.0027600000612437725,,5.927186965942383,170.04652404785156,5.298418998718262,,,0.49949800968170166,77.33155822753906,,0.1124039962887764,68.718505859375,0.3224489986896515
2019-04-28,0.06859099864959717,,4.430445194244385,,255.47012329101562,22.89933967590332,5285.13916015625,0.0025309999473392963,,5.581898212432861,157.29507446289062,4.973506927490234,,,0.4482179880142212,69.72679901123047,,0.0987360030412674,61.22995376586914,0.2974259853363037
2019-05-05,0.06614600121974945,,4.853704929351807,,293.94744873046875,23.01995277404785,5795.70849609375,0.002652999944984913,,5.737806797027588,163.45069885253906,5.650356769561768,,,0.5069789886474609,75.98436737060547,,0.09892699867486954,66.08014678955078,0.3023419976234436
