Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,USO,DBC,DBA,UUP,BTC,ETH
2007-01-07,98.28902435302734,37.561405181884766,59.175201416015625,40.3558235168457,24.596996307373047,48.313724517822266,50.158573150634766,49.428367614746094,,60.16999816894531,12.175000190734863,382.6400146484375,18.76150131225586,20.808931350708008,,,
2007-01-14,100.17729949951172,38.812007904052734,60.910438537597656,40.85887145996094,24.969650268554688,47.6800537109375,49.86140823364258,49.156253814697266,,62.16999816894531,12.779999732971191,357.0400085449219,18.826475143432617,22.538848876953125,,,
2007-01-21,99.8835678100586,37.835506439208984,59.9696044921875,41.18864822387695,25.134765625,47.653011322021484,49.84927749633789,49.25773239135742,,63.0,12.800999641418457,355.44000244140625,18.639673233032227,21.499237060546875,,,
2007-01-28,99.40105438232422,37.321563720703125,60.20866394042969,41.015384674072266,25.257492065429688,47.0681037902832,49.60061264038086,48.99028778076172,,64.16999816894531,13.354999542236328,370.239990234375,19.151350021362305,21.657255172729492,,,
2007-02-04,101.27530670166016,37.82694625854492,61.8898811340332,41.75877380371094,25.739490509033203,47.41740417480469,49.80139923095703,49.27030563354492,,64.27999877929688,13.392000198364258,394.7200012207031,19.663026809692383,21.648941040039062,,,
2007-02-11,100.6668930053711,37.587120056152344,61.936180114746094,41.71965408325195,25.471717834472656,47.65129470825195,49.96578598022461,49.381446838378906,,66.12000274658203,13.805999755859375,399.9200134277344,19.833585739135742,21.757057189941406,,,
2007-02-18,101.91871643066406,38.29804611206055,62.599422454833984,42.692203521728516,26.328590393066406,48.20048522949219,50.28227615356445,49.784420013427734,,66.36000061035156,13.901000022888184,394.79998779296875,19.890439987182617,22.239437103271484,,,
2007-02-25,101.61799621582031,38.76918029785156,63.20094680786133,42.859893798828125,26.219242095947266,48.309226989746094,50.410133361816406,49.923377990722656,,67.72000122070312,14.527999877929688,403.67999267578125,20.49957847595215,22.61370277404785,,,
2007-03-04,96.981201171875,36.38785171508789,59.27550506591797,40.467613220214844,24.09938621520996,49.236122131347656,51.02867889404297,50.37833786010742,,63.709999084472656,12.878000259399414,408.0799865722656,20.14221954345703,21.948347091674805,20.540979385375977,,
2007-03-11,98.45687103271484,36.773338317871094,60.29348373413086,41.417823791503906,25.036590576171875,48.799434661865234,50.79048156738281,50.094635009765625,,64.25,12.854999542236328,400.8800048828125,20.069120407104492,21.88180923461914,20.705570220947266,,
