date,open,high,low,close
2023-09-06 21:00:00,0.89109999,0.89205003,0.89099997,0.89179999
2023-09-07 01:00:00,0.89170003,0.89200002,0.89090002,0.89179999
2023-09-07 05:00:00,0.89179999,0.89249998,0.89125001,0.89195001
2023-09-07 09:00:00,0.89209998,0.89380002,0.89134997,0.89340001
2023-09-07 13:00:00,0.8933,0.89410001,0.89230001,0.89300001
2023-09-07 17:00:00,0.89300001,0.89319998,0.89209998,0.89279997
2023-09-07 21:00:00,0.89289999,0.89314997,0.89099997,0.89130002
2023-09-08 01:00:00,0.89130002,0.89200002,0.89060003,0.89120001
2023-09-08 05:00:00,0.89115,0.8915,0.88950002,0.89074999
2023-09-08 09:00:00,0.89090002,0.89219999,0.89069998,0.89200002
2023-09-08 13:00:00,0.89205003,0.89349997,0.88990003,0.89289999
2023-09-08 17:00:00,0.89300001,0.89380002,0.89240003,0.89305001
2023-09-10 21:00:00,0.89225,0.89279997,0.89120001,0.89200002
2023-09-11 01:00:00,0.8919,0.89230001,0.89020002,0.89034998
2023-09-11 05:00:00,0.89029998,0.89200002,0.88964999,0.89139998
2023-09-11 09:00:00,0.8915,0.89230001,0.89095002,0.89139998
2023-09-11 13:00:00,0.89144999,0.89240003,0.89020002,0.89039999
2023-09-11 17:00:00,0.89039999,0.8915,0.89029998,0.89095002
2023-09-11 21:00:00,0.8908,0.89200002,0.89050001,0.89155
2023-09-12 01:00:00,0.89160001,0.89209998,0.89050001,0.89134997
2023-09-12 05:00:00,0.89134997,0.8919,0.8901,0.89170003
2023-09-12 09:00:00,0.89179999,0.89300001,0.89120001,0.89300001
2023-09-12 13:00:00,0.89300001,0.89349997,0.8908,0.89160001
2023-09-12 17:00:00,0.89170003,0.89230001,0.8908,0.89139998
2023-09-12 21:00:00,0.89109999,0.89170003,0.89060003,0.89130002
2023-09-13 01:00:00,0.89134997,0.8926,0.89090002,0.89120001
2023-09-13 05:00:00,0.89109999,0.8933,0.89095002,0.89300001
2023-09-13 09:00:00,0.89300001,0.89534998,0.89120001,0.89240003
2023-09-13 13:00:00,0.89249998,0.89399999,0.8915,0.89235002
2023-09-13 17:00:00,0.89240003,0.89380002,0.89209998,0.89359999
2023-09-13 21:00:00,0.89324999,0.89399999,0.89209998,0.89230001
2023-09-14 01:00:00,0.89219999,0.89310002,0.89209998,0.89230001
2023-09-14 05:00:00,0.89219999,0.89399999,0.89139998,0.89359999
2023-09-14 09:00:00,0.89340001,0.89709997,0.89270002,0.89499998
2023-09-14 13:00:00,0.89499998,0.8962,0.89310002,0.89600003
2023-09-14 17:00:00,0.89600003,0.89719999,0.89539999,0.89560002
2023-09-14 21:00:00,0.89539999,0.89649999,0.89504999,0.8955
2023-09-15 01:00:00,0.8955,0.89630002,0.89504999,0.89520001
2023-09-15 05:00:00,0.89529997,0.89649999,0.89455003,0.89560002
2023-09-15 09:00:00,0.8955,0.8973,0.8951,0.89709997
2023-09-15 13:00:00,0.89700001,0.89780003,0.89520001,0.89649999
2023-09-15 17:00:00,0.89639997,0.89780003,0.8962,0.8976
2023-09-17 21:00:00,0.89609998,0.8976,0.89609998,0.89670002
