,taker_ratio,funding
2025-10-27,0.4721897849250097,
2025-10-28,0.47431369672255147,
2025-10-29,0.4969694746303231,
2025-10-30,0.47421228926942527,
2025-10-31,0.5049240957440057,
2025-11-01,0.48932680439421694,
2025-11-02,0.48500163687368,
2025-11-03,0.4895352647179328,
2025-11-04,0.49552318878516144,
2025-11-05,0.48969156031529393,
2025-11-06,0.49608345349767635,
2025-11-07,0.4969801751876396,
2025-11-08,0.49386637468262584,
2025-11-09,0.48776419920239567,
2025-11-10,0.4804635117789598,
2025-11-11,0.4712871905557742,
2025-11-12,0.49528679024869116,
2025-11-13,0.4813495061813487,
2025-11-14,0.4914820674573226,
2025-11-15,0.4888216813271314,
2025-11-16,0.4796830215914123,
2025-11-17,0.5044008390390748,
2025-11-18,0.48886859682063477,
2025-11-19,0.47757125327004607,
2025-11-20,0.4789017248992743,
2025-11-21,0.4782762150605583,
2025-11-22,0.4782799784377351,
2025-11-23,0.49717785571057704,
2025-11-24,0.4989570099836293,
2025-11-25,0.4939517891690902,
2025-11-26,0.4782645324773048,
2025-11-27,0.4724487194937913,
2025-11-28,0.46923696239242063,
2025-11-29,0.46984967399080113,
2025-11-30,0.4662736123030661,
2025-12-01,0.5024019965323724,
2025-12-02,0.4869701269756662,
2025-12-03,0.4792352075601075,
2025-12-04,0.45839185676154437,
2025-12-05,0.478307889202398,
2025-12-06,0.5082416994055611,
2025-12-07,0.4830266556114451,
2025-12-08,0.4686836415892017,
2025-12-09,0.48389216144974445,
2025-12-10,0.47286753772408385,
2025-12-11,0.49301988707225675,
2025-12-12,0.47076277504043296,
2025-12-13,0.4928598345312116,
2025-12-14,0.46276041888292213,
2025-12-15,0.5075828006520701,
2025-12-16,0.4900945036290571,
2025-12-17,0.47552254315968845,
2025-12-18,0.4708757157849068,
2025-12-19,0.4990155051851012,
2025-12-20,0.4976468498296817,
2025-12-21,0.47612844079825173,
2025-12-22,0.4841140705433516,
2025-12-23,0.48029615747233734,
2025-12-24,0.49927073862778004,
2025-12-25,0.4632199010473321,
2025-12-26,0.46046507082724947,
2025-12-27,0.5160512917984713,
2025-12-28,0.441785807079139,
2025-12-29,0.4717571899366209,
2025-12-30,0.4803804575007675,
2025-12-31,0.48027237030587194,
2026-01-01,0.47027412856860973,
2026-01-02,0.501595801168633,
2026-01-03,0.4798949895768566,
2026-01-04,0.4788046311676121,
2026-01-05,0.48544171883910053,
2026-01-06,0.4767030660809336,
2026-01-07,0.47307260749005153,
2026-01-08,0.47196647438818234,
2026-01-09,0.4868666225689534,
2026-01-10,0.49288971787594615,
2026-01-11,0.4666721902554445,
2026-01-12,0.4882829428984024,
2026-01-13,0.48664723350086647,
2026-01-14,0.5039541569338583,
2026-01-15,0.4821413279738058,
2026-01-16,0.49808725075173027,
2026-01-17,0.4845930248016303,
2026-01-18,0.4792449026591272,
2026-01-19,0.4778088815343588,
2026-01-20,0.49480317707637983,
2026-01-21,0.4813901779373393,
2026-01-22,0.47724874333980866,
2026-01-23,0.4723609300782031,
2026-01-24,0.4745199755852527,
2026-01-25,0.46293937237334376,
2026-01-26,0.5337931728615355,
2026-01-27,0.48657737512095994,
2026-01-28,0.47344999347979766,
2026-01-29,0.4931201163534201,
2026-01-30,0.4774680781004552,
2026-01-31,0.43788577814864205,
2026-02-01,0.48242606513776337,
2026-02-02,0.49801751962250984,
