,taker_ratio,funding
2025-10-27,0.48737064994877133,
2025-10-28,0.486716039799977,
2025-10-29,0.4970118380744763,
2025-10-30,0.48709473141425863,
2025-10-31,0.5065702060935446,
2025-11-01,0.4735594175853889,
2025-11-02,0.5043836112356185,
2025-11-03,0.47635421504394565,
2025-11-04,0.4855927113263052,
2025-11-05,0.5139667651697994,
2025-11-06,0.4756343772721908,
2025-11-07,0.50975999491855,
2025-11-08,0.4844603832625699,
2025-11-09,0.49508406628983476,
2025-11-10,0.49876634353524973,
2025-11-11,0.47545479756681525,
2025-11-12,0.4808396979153691,
2025-11-13,0.47856964235409455,
2025-11-14,0.486125139521029,
2025-11-15,0.4846484423413582,
2025-11-16,0.47948022216206515,
2025-11-17,0.4988751578184641,
2025-11-18,0.4893503750035188,
2025-11-19,0.46439962735895957,
2025-11-20,0.48626057623069957,
2025-11-21,0.49155116238705965,
2025-11-22,0.49799182000899667,
2025-11-23,0.4986068822453507,
2025-11-24,0.5058608179472366,
2025-11-25,0.4934619930171718,
2025-11-26,0.5036245068884249,
2025-11-27,0.49576478048066164,
2025-11-28,0.48808776886624694,
2025-11-29,0.47017063507781237,
2025-11-30,0.49253826568391296,
2025-12-01,0.47670480688714895,
2025-12-02,0.5060162409822445,
2025-12-03,0.49650152208061366,
2025-12-04,0.46525168087586305,
2025-12-05,0.47422890988185107,
2025-12-06,0.4873850274315009,
2025-12-07,0.4857178276046492,
2025-12-08,0.5157148895210086,
2025-12-09,0.48923487788969366,
2025-12-10,0.46689407874615996,
2025-12-11,0.4623703794771146,
2025-12-12,0.48328519563215844,
2025-12-13,0.5013675684271357,
2025-12-14,0.4677290162713716,
2025-12-15,0.46726976351355026,
2025-12-16,0.49890491558686834,
2025-12-17,0.49416258390583245,
2025-12-18,0.49234705458359607,
2025-12-19,0.49102836761681196,
2025-12-20,0.5002517920268851,
2025-12-21,0.4850833057951213,
2025-12-22,0.4958163726405504,
2025-12-23,0.49093571293368876,
2025-12-24,0.5058123423320706,
2025-12-25,0.4853903314602498,
2025-12-26,0.48644325122152793,
2025-12-27,0.49612555221913984,
2025-12-28,0.4953854401049708,
2025-12-29,0.4966750598519067,
