date,open,high,low,close
2010-01-01,5.740300178527832,5.771100044250488,5.740300178527832,5.770500183105469
2010-01-04,5.787300109863281,5.80620002746582,5.6743998527526855,5.704999923706055
2010-01-05,5.702899932861328,5.722499847412109,5.671599864959717,5.713799953460693
2010-01-06,5.714700222015381,5.750199794769287,5.6508002281188965,5.6666998863220215
2010-01-07,5.668900012969971,5.729899883270264,5.64709997177124,5.707399845123291
2010-01-08,5.702400207519531,5.729599952697754,5.64900016784668,5.654399871826172
2010-01-11,5.634500026702881,5.640600204467773,5.592700004577637,5.6066999435424805
2010-01-12,5.603000164031982,5.6722002029418945,5.603000164031982,5.665900230407715
2010-01-13,5.666200160980225,5.6774001121521,5.599100112915039,5.631100177764893
2010-01-14,5.632400035858154,5.644999980926514,5.61299991607666,5.6305999755859375
2010-01-15,5.62470006942749,5.690899848937988,5.621600151062012,5.673999786376953
2010-01-18,5.681399822235107,5.695099830627441,5.63700008392334,5.63700008392334
2010-01-19,5.638999938964844,5.714799880981445,5.63539981842041,5.686999797821045
2010-01-20,5.688000202178955,5.7835001945495605,5.679100036621094,5.770599842071533
2010-01-21,5.771599769592285,5.828000068664551,5.7606000900268555,5.815400123596191
2010-01-22,5.809899806976318,5.826099872589111,5.767899990081787,5.8024001121521
2010-01-25,5.7895002365112305,5.818900108337402,5.7733001708984375,5.811299800872803
2010-01-26,5.810500144958496,5.8719000816345215,5.786900043487549,5.847400188446045
2010-01-27,5.840700149536133,5.875999927520752,5.825699806213379,5.845799922943115
2010-01-28,5.841899871826172,5.897200107574463,5.820300102233887,5.887400150299072
2010-01-29,5.88640022277832,5.926499843597412,5.854100227355957,5.922599792480469
2010-02-01,5.920899868011475,5.929200172424316,5.841400146484375,5.850299835205078
2010-02-02,5.852099895477295,5.872000217437744,5.825300216674805,5.827000141143799
2010-02-03,5.824900150299072,5.87529993057251,5.804299831390381,5.862299919128418
2010-02-04,5.861999988555908,5.972700119018555,5.860499858856201,5.95389986038208
2010-02-05,5.950500011444092,6.041900157928467,5.947500228881836,5.985000133514404
2010-02-08,5.9928998947143555,6.006199836730957,5.935100078582764,5.975900173187256
2010-02-09,5.9766998291015625,5.9766998291015625,5.8744001388549805,5.896900177001953
2010-02-10,5.901899814605713,5.942200183868408,5.858500003814697,5.900199890136719
2010-02-11,5.905099868774414,5.9496002197265625,5.864500045776367,5.889750003814697
2010-02-12,5.880899906158447,5.974800109863281,5.880899906158447,5.8979997634887695
2010-02-15,5.912099838256836,5.932600021362305,5.906300067901611,5.911900043487549
