,taker_ratio,funding
2025-10-27,0.48346199604835005,
2025-10-28,0.4794598782433999,
2025-10-29,0.48860820493057133,
2025-10-30,0.4727923507663628,
2025-10-31,0.5032075652681623,
2025-11-01,0.5041471494384789,
2025-11-02,0.4729059854987472,
2025-11-03,0.4794499701740058,
2025-11-04,0.49048873724232206,
2025-11-05,0.501855261170257,
2025-11-06,0.5019345011356303,
2025-11-07,0.4977698241624475,
2025-11-08,0.4801921332418036,
2025-11-09,0.49692502842221553,
2025-11-10,0.49098523378852593,
2025-11-11,0.49366282090713054,
2025-11-12,0.48559667373722093,
2025-11-13,0.48785054729574484,
2025-11-14,0.48960279067400503,
2025-11-15,0.4936039679317622,
2025-11-16,0.4837684762929043,
2025-11-17,0.49404387656419335,
2025-11-18,0.5100161925806035,
2025-11-19,0.5013393447304572,
2025-11-20,0.48493232502879263,
2025-11-21,0.4930732364413325,
2025-11-22,0.5194956992728601,
2025-11-23,0.5074724303038401,
2025-11-24,0.5078961816518003,
2025-11-25,0.5147061808478196,
2025-11-26,0.4943134075964178,
2025-11-27,0.49133583043155693,
2025-11-28,0.4980997313309178,
2025-11-29,0.4927692820260062,
2025-11-30,0.48475130481291584,
2025-12-01,0.46238574214501427,
2025-12-02,0.5021320801881994,
2025-12-03,0.5171686669591719,
2025-12-04,0.4770404908853255,
2025-12-05,0.4907456188305567,
2025-12-06,0.5056645974080942,
2025-12-07,0.4984181869301041,
2025-12-08,0.49887863810054334,
2025-12-09,0.4777157759052256,
2025-12-10,0.49680352214004364,
2025-12-11,0.4991013892129283,
2025-12-12,0.4994541241229474,
2025-12-13,0.4801168546674841,
2025-12-14,0.4569624398052166,
2025-12-15,0.49899530307422885,
2025-12-16,0.4874890091513208,
2025-12-17,0.48114855383066174,
2025-12-18,0.48682940725922663,
2025-12-19,0.5110500277216729,
2025-12-20,0.5063826785782752,
2025-12-21,0.48378393940221737,
2025-12-22,0.5059673231304359,
2025-12-23,0.4989837529059099,
2025-12-24,0.4937936898039072,
2025-12-25,0.4848814870076471,
2025-12-26,0.5264158952498148,
2025-12-27,0.5014692457397557,
2025-12-28,0.4822941825425506,
2025-12-29,0.5026799378081015,
2025-12-30,0.4870234820222155,
2025-12-31,0.45527505145384817,
2026-01-01,0.5208221724056038,
2026-01-02,0.5001544802191747,
2026-01-03,0.5045622574483738,
2026-01-04,0.5056444374603026,
2026-01-05,0.49500760471094035,
2026-01-06,0.49265827303167053,
2026-01-07,0.48130525330337554,
