date,open,high,low,close
2023-09-12 09:00:00,1.2468,1.24845,1.24595,1.2468
2023-09-12 13:00:00,1.2468,1.24925,1.2462,1.2479
2023-09-12 17:00:00,1.2478,1.2499,1.2476,1.24905
2023-09-12 21:00:00,1.2486,1.2501,1.24815,1.24935
2023-09-13 01:00:00,1.24945,1.25025,1.2481,1.24945
2023-09-13 05:00:00,1.2496,1.2498,1.2441,1.24775
2023-09-13 09:00:00,1.24765,1.25,1.2435,1.2486
2023-09-13 13:00:00,1.2484,1.2512,1.2472,1.24955
2023-09-13 17:00:00,1.2496,1.25065,1.2481,1.249
2023-09-13 21:00:00,1.2488,1.2504,1.2484,1.2502
2023-09-14 01:00:00,1.2502,1.25045,1.2485,1.2501
2023-09-14 05:00:00,1.2502,1.2506,1.24795,1.24875
2023-09-14 09:00:00,1.2487,1.2487,1.2414,1.244
2023-09-14 13:00:00,1.244,1.2461,1.2401,1.24145
2023-09-14 17:00:00,1.2414,1.2418,1.23965,1.24095
2023-09-14 21:00:00,1.2412,1.2412,1.23995,1.2412
2023-09-15 01:00:00,1.241,1.243,1.2402,1.24285
2023-09-15 05:00:00,1.2429,1.24465,1.2416,1.244
2023-09-15 09:00:00,1.2439,1.24405,1.2391,1.2391
2023-09-15 13:00:00,1.23895,1.2426,1.2385,1.23995
2023-09-15 17:00:00,1.24,1.24,1.2379,1.2381
2023-09-17 21:00:00,1.2386,1.24025,1.2384,1.24
2023-09-18 01:00:00,1.2401,1.2404,1.2386,1.2396
2023-09-18 05:00:00,1.2397,1.2405,1.237,1.2382
2023-09-18 09:00:00,1.238,1.24105,1.2377,1.2381
2023-09-18 13:00:00,1.2381,1.2405,1.23725,1.23945
2023-09-18 17:00:00,1.2395,1.23995,1.2374,1.2384
2023-09-18 21:00:00,1.2385,1.2392,1.238,1.2382
2023-09-19 01:00:00,1.23825,1.2384,1.2375,1.23785
2023-09-19 05:00:00,1.2378,1.2393,1.237,1.2376
2023-09-19 09:00:00,1.2376,1.2425,1.2372,1.2404
2023-09-19 13:00:00,1.2405,1.2407,1.2382,1.2387
2023-09-19 17:00:00,1.2388,1.23975,1.2386,1.23925
2023-09-19 21:00:00,1.23925,1.23975,1.2386,1.2391
2023-09-20 01:00:00,1.23905,1.2394,1.2382,1.23885
2023-09-20 05:00:00,1.23885,1.23965,1.2334,1.2369
2023-09-20 09:00:00,1.237,1.23805,1.2358,1.2377
2023-09-20 13:00:00,1.2377,1.2422,1.2376,1.2417
2023-09-20 17:00:00,1.2416,1.2417,1.2332,1.2345
2023-09-20 21:00:00,1.23485,1.23555,1.2311,1.2314
